X,Y,Z,DENS,E,NU
-15.7683,-66.4323,-978.463,-276.499,-nan(ind),N/A
11.0916,-78.8271,-991.028,610.534,2.50733e+06,N/A
-20.2421,-79.8351,-984.962,120.242,455276,N/A
-21.3843,-78.3101,-975.885,-276.499,-nan(ind),N/A
0.2335,-83.9264,-989.318,610.534,2.50733e+06,N/A
-4.59028,-76.5108,-977.144,-276.499,-nan(ind),N/A
0.345575,-61.5816,-967.017,610.534,2.50733e+06,N/A
2.38218,-86.3111,-976.328,-276.499,-nan(ind),N/A
-22.9161,-78.5775,-989.429,610.534,2.50733e+06,N/A
-27.5342,-75.9865,-984.194,-276.499,-nan(ind),N/A
-13.3275,-88.4927,-982.049,120.242,455276,N/A
-11.9304,-73.7174,-974.085,-276.499,-nan(ind),N/A
5.45895,-74.1972,-973.808,120.242,455276,N/A
-19.6874,-85.1833,-967.532,610.534,2.50733e+06,N/A
4.84042,-64.298,-965.413,610.534,2.50733e+06,N/A
-5.32535,-73.7366,-982.76,-276.499,-nan(ind),N/A
11.1918,-89.0783,-984.625,610.534,2.50733e+06,N/A
12.453,-87.5768,-982.261,610.534,2.50733e+06,N/A
-19.8915,-85.657,-988.47,610.534,2.50733e+06,N/A
15.4934,-72.2115,-991.921,610.534,2.50733e+06,N/A
-26.3496,-70.6948,-984.356,-276.499,-nan(ind),N/A
-5.63973,-67.5636,-983.068,610.534,2.50733e+06,N/A
1.1729,-76.6074,-979.903,-276.499,-nan(ind),N/A
16.709,-68.8324,-972.354,120.242,455276,N/A
14.1619,-88.9772,-966.992,-276.499,-nan(ind),N/A
-22.5107,-76.0369,-978.588,610.534,2.50733e+06,N/A
1.18992,-68.4483,-981.958,-276.499,-nan(ind),N/A
4.54455,-89.9069,-984.347,120.242,455276,N/A
7.29788,-72.5777,-990.439,610.534,2.50733e+06,N/A
-3.68527,-94.3391,-970.651,-276.499,-nan(ind),N/A
8.44017,-70.2165,-979.622,120.242,455276,N/A
-14.1551,-79.681,-986.357,610.534,2.50733e+06,N/A
-9.02918,-78.3161,-989.832,610.534,2.50733e+06,N/A
2.22737,-73.4797,-982.344,-276.499,-nan(ind),N/A
3.03638,-87.1875,-981.695,120.242,455276,N/A
0.86045,-67.4781,-990.024,610.534,2.50733e+06,N/A
14.3151,-68.1748,-991.919,610.534,2.50733e+06,N/A
14.5137,-80.7673,-983.438,120.242,455276,N/A
-14.412,-68.8658,-974.972,-276.499,-nan(ind),N/A
-0.75595,-97.0048,-989.743,610.534,2.50733e+06,N/A
-2.13137,-88.1428,-990.924,610.534,2.50733e+06,N/A
9.01487,-88.3629,-969.909,-276.499,-nan(ind),N/A
13.7377,-72.9211,-991.813,610.534,2.50733e+06,N/A
12.7879,-91.8653,-987.351,610.534,2.50733e+06,N/A
-7.90883,-63.9991,-969.318,-276.499,-nan(ind),N/A
-8.58057,-77.7965,-978.377,-276.499,-nan(ind),N/A
5.84465,-82.4175,-990.433,610.534,2.50733e+06,N/A
-7.8185,-92.077,-965.636,610.534,2.50733e+06,N/A
12.5536,-84.0031,-982.174,610.534,2.50733e+06,N/A
-2.66173,-77.0268,-981.89,-276.499,-nan(ind),N/A
4.02597,-90.8275,-969.21,-276.499,-nan(ind),N/A
-12.7989,-86.9767,-985.323,120.242,455276,N/A
-21.0127,-83.6866,-965.284,610.534,2.50733e+06,N/A
-8.49357,-94.6576,-985.659,-276.499,-nan(ind),N/A
-9.19967,-71.4937,-985.517,25.368,88862.2,N/A
7.8158,-71.1042,-986.429,610.534,2.50733e+06,N/A
-2.22912,-89.6422,-968.712,-276.499,-nan(ind),N/A
-13.2988,-86.041,-965.866,610.534,2.50733e+06,N/A
-1.41355,-61.9858,-968.886,-276.499,-nan(ind),N/A
-4.59305,-91.0587,-962.131,610.534,2.50733e+06,N/A
-4.05028,-83.2687,-964.764,-276.499,-nan(ind),N/A
-13.0008,-67.9673,-967.923,-276.499,-nan(ind),N/A
-14.2227,-80.0636,-977.387,-276.499,-nan(ind),N/A
24.4625,-84.4374,-971.212,120.242,455276,N/A
3.35812,-74.8425,-982.715,-276.499,-nan(ind),N/A
-14.7845,-63.0484,-969.281,-276.499,-nan(ind),N/A
4.89297,-90.9116,-989.31,120.242,455276,N/A
-17.1263,-77.4659,-982.859,-276.499,-nan(ind),N/A
-1.11545,-70.2399,-990.498,610.534,2.50733e+06,N/A
-8.30377,-86.3777,-976.228,-276.499,-nan(ind),N/A
-3.273,-72.4872,-984.378,-276.499,-nan(ind),N/A
9.8186,-78.8186,-984.028,120.242,455276,N/A
-15.3534,-92.1021,-984.203,610.534,2.50733e+06,N/A
6.0388,-73.233,-972.588,120.242,455276,N/A
16.006,-63.2854,-969.644,610.534,2.50733e+06,N/A
10.7658,-83.3533,-971.452,-276.499,-nan(ind),N/A
-6.66838,-78.8386,-975.903,-276.499,-nan(ind),N/A
-4.93345,-87.2665,-966.963,-276.499,-nan(ind),N/A
10.356,-71.1944,-976.624,120.242,455276,N/A
2.6913,-96.7128,-989.954,610.534,2.50733e+06,N/A
-14.332,-65.3089,-981.967,25.368,88862.2,N/A
15.0196,-67.6449,-969.114,610.534,2.50733e+06,N/A
12.5519,-70.4954,-984.824,610.534,2.50733e+06,N/A
-12.1114,-95.1715,-986.967,610.534,2.50733e+06,N/A
-11.4297,-78.2445,-987.845,610.534,2.50733e+06,N/A
8.32675,-82.5142,-987.1,610.534,2.50733e+06,N/A
10.7918,-85.934,-978.82,-276.499,-nan(ind),N/A
13.3748,-84.5516,-982.951,610.534,2.50733e+06,N/A
9.45565,-92.7062,-992.802,610.534,2.50733e+06,N/A
-3.6902,-69.2689,-990.495,610.534,2.50733e+06,N/A
15.5869,-89.2391,-993.045,610.534,2.50733e+06,N/A
10.1796,-66.8791,-976.182,610.534,2.50733e+06,N/A
-8.2302,-68.9599,-974.847,-276.499,-nan(ind),N/A
-10.7468,-92.833,-990.654,610.534,2.50733e+06,N/A
1.68732,-80.5353,-988.514,610.534,2.50733e+06,N/A
18.3653,-86.5324,-991.679,610.534,2.50733e+06,N/A
-18.3436,-91.5639,-989.467,610.534,2.50733e+06,N/A
-12.1197,-71.1698,-967.283,120.242,455276,N/A
3.01558,-73.1787,-965.558,610.534,2.50733e+06,N/A
9.15312,-94.5518,-992.096,610.534,2.50733e+06,N/A
18.0834,-72.7434,-985.309,610.534,2.50733e+06,N/A
